TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL1R,04000US02,Alaska,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,5,Number,"173,440","+/-1,485","10,735",+/-362,"110,155","+/-1,172","5,010",+/-362,"21,450",+/-683,"13,535",+/-601,"2,060",+/-212,"10,500",+/-690,0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,6,Percent,45.7,+/-0.3,2.8,+/-0.1,29,+/-0.3,1.3,+/-0.1,5.7,+/-0.2,3.6,+/-0.2,0.5,+/-0.1,2.8,+/-0.2,0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,1,Number,"3,256,190","+/-8,562","992,545","+/-4,483","1,829,365","+/-5,780","143,460","+/-2,004","103,890","+/-1,441","116,170","+/-1,892","6,060",+/-478,"64,700","+/-2,161",0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,2,Percent,100,+/-0.1,30.5,+/-0.1,56.2,+/-0.1,4.4,+/-0.1,3.2,+/-0.1,3.6,+/-0.1,0.2,+/-0.1,2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,3,Number,"1,740,030","+/-5,185","550,355","+/-2,796","968,840","+/-3,483","75,680","+/-1,306","49,150",+/-995,"59,600","+/-1,235","3,380",+/-333,"33,030","+/-1,455",0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,4,Percent,53.4,+/-0.1,16.9,+/-0.1,29.8,+/-0.1,2.3,+/-0.1,1.5,+/-0.1,1.8,+/-0.1,0.1,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,5,Number,"1,516,165","+/-5,724","442,195","+/-3,145","860,525","+/-3,830","67,785","+/-1,371","54,740",+/-996,"56,575","+/-1,316","2,680",+/-250,"31,670","+/-1,341",0,"Total, all occupations"
EEOALL1R,04000US04,Arizona,6,Percent,46.6,+/-0.1,13.6,+/-0.1,26.4,+/-0.1,2.1,+/-0.1,1.7,+/-0.1,1.7,+/-0.1,0.1,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,1,Number,"1,368,035","+/-6,314","97,800","+/-1,334","1,012,480","+/-5,102","198,200","+/-2,370","7,435",+/-579,"23,270",+/-868,"3,285",+/-321,"25,570","+/-1,131",0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,2,Percent,100,+/-0.1,7.1,+/-0.1,74,+/-0.2,14.5,+/-0.1,0.5,+/-0.1,1.7,+/-0.1,0.2,+/-0.1,1.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,3,Number,"719,930","+/-4,111","58,995",+/-904,"539,120","+/-3,284","90,455","+/-1,628","3,760",+/-391,"12,200",+/-525,"2,000",+/-253,"13,400",+/-772,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,4,Percent,52.6,+/-0.2,4.3,+/-0.1,39.4,+/-0.2,6.6,+/-0.1,0.3,+/-0.1,0.9,+/-0.1,0.1,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,5,Number,"648,105","+/-3,897","38,805","+/-1,027","473,360","+/-3,262","107,745","+/-1,713","3,675",+/-423,"11,065",+/-639,"1,290",+/-271,"12,165",+/-852,0,"Total, all occupations"
EEOALL1R,04000US05,Arkansas,6,Percent,47.4,+/-0.2,2.8,+/-0.1,34.6,+/-0.2,7.9,+/-0.1,0.3,+/-0.1,0.8,+/-0.1,0.1,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US06,California,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US06,California,1,Number,"19,630,515","+/-23,117","7,331,885","+/-11,673","7,662,065","+/-12,763","1,039,840","+/-4,612","59,075","+/-1,657","2,932,435","+/-7,111","74,365","+/-1,604","530,850","+/-6,932",0,"Total, all occupations"
EEOALL1R,04000US06,California,2,Percent,100,+/-0.1,37.3,+/-0.1,39,+/-0.1,5.3,+/-0.1,0.3,+/-0.1,14.9,+/-0.1,0.4,+/-0.1,2.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US06,California,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US06,California,3,Number,"10,610,975","+/-13,517","4,114,215","+/-7,206","4,150,450","+/-7,100","513,530","+/-3,579","30,060","+/-1,096","1,495,765","+/-4,851","37,365","+/-1,089","269,590","+/-4,273",0,"Total, all occupations"
EEOALL1R,04000US06,California,4,Percent,54.1,+/-0.1,21,+/-0.1,21.1,+/-0.1,2.6,+/-0.1,0.2,+/-0.1,7.6,+/-0.1,0.2,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US06,California,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US06,California,5,Number,"9,019,535","+/-14,026","3,217,670","+/-8,713","3,511,610","+/-8,612","526,310","+/-3,195","29,015","+/-1,033","1,436,670","+/-4,688","37,000",+/-997,"261,255","+/-4,199",0,"Total, all occupations"
EEOALL1R,04000US06,California,6,Percent,45.9,+/-0.1,16.4,+/-0.1,17.9,+/-0.1,2.7,+/-0.1,0.1,+/-0.1,7.3,+/-0.1,0.2,+/-0.1,1.3,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,1,Number,"2,978,700","+/-6,230","571,005","+/-3,441","2,122,700","+/-4,490","112,215","+/-2,023","15,480",+/-723,"91,515","+/-1,479","3,920",+/-337,"61,865","+/-1,857",0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,2,Percent,100,+/-0.1,19.2,+/-0.1,71.3,+/-0.1,3.8,+/-0.1,0.5,+/-0.1,3.1,+/-0.1,0.1,+/-0.1,2.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,3,Number,"1,599,880","+/-3,978","319,010","+/-1,773","1,131,965","+/-3,000","61,635","+/-1,391","7,115",+/-473,"46,015",+/-980,"1,795",+/-260,"32,350","+/-1,322",0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,4,Percent,53.7,+/-0.1,10.7,+/-0.1,38,+/-0.1,2.1,+/-0.1,0.2,+/-0.1,1.5,+/-0.1,0.1,+/-0.1,1.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,5,Number,"1,378,820","+/-4,418","251,995","+/-2,553","990,735","+/-3,268","50,580","+/-1,379","8,365",+/-521,"45,500","+/-1,016","2,125",+/-245,"29,520","+/-1,197",0,"Total, all occupations"
EEOALL1R,04000US08,Colorado,6,Percent,46.3,+/-0.1,8.5,+/-0.1,33.3,+/-0.1,1.7,+/-0.1,0.3,+/-0.1,1.5,+/-0.1,0.1,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,1,Number,"1,936,355","+/-4,968","279,795","+/-2,059","1,340,915","+/-3,676","188,430","+/-1,902","2,665",+/-375,"87,420","+/-1,208",625,+/-198,"36,505","+/-1,636",0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,2,Percent,100,+/-0.1,14.4,+/-0.1,69.2,+/-0.1,9.7,+/-0.1,0.1,+/-0.1,4.5,+/-0.1,0,+/-0.1,1.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,3,Number,"995,605","+/-3,321","147,885","+/-1,166","693,745","+/-2,701","86,970","+/-1,233","1,460",+/-230,"47,650",+/-730,320,+/-146,"17,570",+/-987,0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,4,Percent,51.4,+/-0.1,7.6,+/-0.1,35.8,+/-0.1,4.5,+/-0.1,0.1,+/-0.1,2.5,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,5,Number,"940,750","+/-3,093","131,915","+/-1,554","647,165","+/-2,215","101,455","+/-1,379","1,205",+/-220,"39,770",+/-911,305,+/-157,"18,930","+/-1,126",0,"Total, all occupations"
EEOALL1R,04000US09,Connecticut,6,Percent,48.6,+/-0.1,6.8,+/-0.1,33.4,+/-0.1,5.2,+/-0.1,0.1,+/-0.1,2.1,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,1,Number,"479,445","+/-2,747","40,575",+/-760,"306,665","+/-1,873","102,980","+/-1,528","1,505",+/-231,"19,410",+/-607,145,+/-63,"8,175",+/-799,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,2,Percent,100,+/-0.1,8.5,+/-0.1,64,+/-0.3,21.5,+/-0.3,0.3,+/-0.1,4,+/-0.1,0,+/-0.1,1.7,+/-0.2,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,3,Number,"243,440","+/-2,032","23,420",+/-505,"156,830","+/-1,343","47,365","+/-1,058",885,+/-138,"10,760",+/-345,60,+/-41,"4,120",+/-488,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,4,Percent,50.8,+/-0.3,4.9,+/-0.1,32.7,+/-0.2,9.9,+/-0.2,0.2,+/-0.1,2.2,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,5,Number,"236,010","+/-1,954","17,155",+/-512,"149,835","+/-1,573","55,615",+/-965,620,+/-157,"8,645",+/-477,85,+/-52,"4,055",+/-511,0,"Total, all occupations"
EEOALL1R,04000US10,Delaware,6,Percent,49.2,+/-0.3,3.6,+/-0.1,31.3,+/-0.3,11.6,+/-0.2,0.1,+/-0.1,1.8,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,1,Number,"398,565","+/-2,430","43,345",+/-687,"177,145","+/-1,272","149,300","+/-1,813",640,+/-203,"18,430",+/-487,260,+/-73,"9,450",+/-673,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,2,Percent,100,+/-0.1,10.9,+/-0.2,44.4,+/-0.3,37.5,+/-0.3,0.2,+/-0.1,4.6,+/-0.1,0.1,+/-0.1,2.4,+/-0.2,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,3,Number,"191,615","+/-1,476","23,065",+/-458,"89,960",+/-713,"66,675","+/-1,112",290,+/-130,"7,335",+/-353,160,+/-82,"4,130",+/-483,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,4,Percent,48.1,+/-0.3,5.8,+/-0.1,22.6,+/-0.2,16.7,+/-0.2,0.1,+/-0.1,1.8,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,5,Number,"206,955","+/-1,724","20,280",+/-451,"87,180",+/-815,"82,625","+/-1,303",355,+/-113,"11,095",+/-335,100,+/-62,"5,320",+/-440,0,"Total, all occupations"
EEOALL1R,04000US11,District of Columbia,6,Percent,51.9,+/-0.3,5.1,+/-0.1,21.9,+/-0.2,20.7,+/-0.3,0.1,+/-0.1,2.8,+/-0.1,0,+/-0.1,1.3,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US12,Florida,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US12,Florida,1,Number,"9,876,910","+/-17,583","2,640,155","+/-7,911","5,225,000","+/-12,188","1,527,040","+/-6,019","17,920","+/-1,057","284,630","+/-2,848","6,180",+/-696,"175,980","+/-4,022",0,"Total, all occupations"
EEOALL1R,04000US12,Florida,2,Percent,100,+/-0.1,26.7,+/-0.1,52.9,+/-0.1,15.5,+/-0.1,0.2,+/-0.1,2.9,+/-0.1,0.1,+/-0.1,1.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US12,Florida,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US12,Florida,3,Number,"5,154,830","+/-11,280","1,436,475","+/-5,230","2,760,965","+/-7,634","714,810","+/-4,396","9,545",+/-719,"142,025","+/-1,670","3,150",+/-542,"87,860","+/-2,720",0,"Total, all occupations"
EEOALL1R,04000US12,Florida,4,Percent,52.2,+/-0.1,14.5,+/-0.1,28,+/-0.1,7.2,+/-0.1,0.1,+/-0.1,1.4,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US12,Florida,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US12,Florida,5,Number,"4,722,080","+/-12,664","1,203,680","+/-5,587","2,464,035","+/-8,506","812,230","+/-4,279","8,380",+/-640,"142,605","+/-2,141","3,030",+/-446,"88,120","+/-2,583",0,"Total, all occupations"
EEOALL1R,04000US12,Florida,6,Percent,47.8,+/-0.1,12.2,+/-0.1,24.9,+/-0.1,8.2,+/-0.1,0.1,+/-0.1,1.4,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,1,Number,"5,043,920","+/-11,058","447,560","+/-2,841","2,730,960","+/-7,205","1,562,530","+/-6,488","7,875",+/-713,"207,525","+/-2,194","2,420",+/-437,"85,050","+/-2,875",0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,2,Percent,100,+/-0.1,8.9,+/-0.1,54.1,+/-0.1,31,+/-0.1,0.2,+/-0.1,4.1,+/-0.1,0,+/-0.1,1.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,3,Number,"2,601,605","+/-7,443","270,795","+/-1,924","1,466,345","+/-4,745","706,955","+/-3,945","4,270",+/-472,"111,965","+/-1,453","1,130",+/-291,"40,145","+/-1,770",0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,4,Percent,51.6,+/-0.1,5.4,+/-0.1,29.1,+/-0.1,14,+/-0.1,0.1,+/-0.1,2.2,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,5,Number,"2,442,315","+/-7,225","176,765","+/-2,320","1,264,615","+/-4,926","855,575","+/-4,602","3,605",+/-441,"95,560","+/-1,692","1,290",+/-312,"44,905","+/-1,887",0,"Total, all occupations"
EEOALL1R,04000US13,Georgia,6,Percent,48.4,+/-0.1,3.5,+/-0.1,25.1,+/-0.1,17,+/-0.1,0.1,+/-0.1,1.9,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,1,Number,"709,480","+/-3,030","61,345","+/-1,222","155,945","+/-1,650","11,225",+/-640,765,+/-156,"285,960","+/-3,501","63,730","+/-1,410","130,510","+/-3,080",0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,2,Percent,100,+/-0.1,8.6,+/-0.2,22,+/-0.2,1.6,+/-0.1,0.1,+/-0.1,40.3,+/-0.4,9,+/-0.2,18.4,+/-0.4,0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,3,Number,"367,390","+/-2,124","32,120",+/-766,"85,960","+/-1,084","6,945",+/-488,420,+/-115,"138,765","+/-2,329","33,925",+/-933,"69,260","+/-2,036",0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,4,Percent,51.8,+/-0.2,4.5,+/-0.1,12.1,+/-0.1,1,+/-0.1,0.1,+/-0.1,19.6,+/-0.3,4.8,+/-0.1,9.8,+/-0.3,0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,5,Number,"342,090","+/-2,084","29,220",+/-825,"69,990","+/-1,125","4,280",+/-363,350,+/-123,"147,195","+/-1,894","29,810",+/-928,"61,250","+/-1,708",0,"Total, all occupations"
EEOALL1R,04000US15,Hawaii,6,Percent,48.2,+/-0.2,4.1,+/-0.1,9.9,+/-0.2,0.6,+/-0.1,0,+/-0.1,20.7,+/-0.2,4.2,+/-0.1,8.6,+/-0.2,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,1,Number,"806,375","+/-3,133","96,840","+/-1,430","669,765","+/-3,172","4,915",+/-411,"8,090",+/-555,"11,420",+/-630,"1,145",+/-217,"14,195",+/-978,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,2,Percent,100,+/-0.1,12,+/-0.2,83.1,+/-0.2,0.6,+/-0.1,1,+/-0.1,1.4,+/-0.1,0.1,+/-0.1,1.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,3,Number,"438,105","+/-2,112","55,710",+/-952,"361,360","+/-1,969","2,970",+/-342,"4,180",+/-422,"5,710",+/-392,560,+/-225,"7,610",+/-673,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,4,Percent,54.3,+/-0.2,6.9,+/-0.1,44.8,+/-0.2,0.4,+/-0.1,0.5,+/-0.1,0.7,+/-0.1,0.1,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,5,Number,"368,265","+/-2,448","41,130","+/-1,017","308,405","+/-2,230","1,945",+/-283,"3,910",+/-355,"5,710",+/-478,585,+/-190,"6,585",+/-568,0,"Total, all occupations"
EEOALL1R,04000US16,Idaho,6,Percent,45.7,+/-0.2,5.1,+/-0.1,38.2,+/-0.2,0.2,+/-0.1,0.5,+/-0.1,0.7,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,1,Number,"6,663,105","+/-10,994","1,083,360","+/-3,810","4,258,150","+/-7,751","843,605","+/-4,440","7,450",+/-549,"372,295","+/-2,902","1,915",+/-351,"96,330","+/-2,601",0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,2,Percent,100,+/-0.1,16.3,+/-0.1,63.9,+/-0.1,12.7,+/-0.1,0.1,+/-0.1,5.6,+/-0.1,0,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,3,Number,"3,491,945","+/-6,926","616,350","+/-2,676","2,243,530","+/-5,094","381,560","+/-2,826","3,790",+/-409,"197,555","+/-1,846",970,+/-262,"48,185","+/-1,814",0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,4,Percent,52.4,+/-0.1,9.3,+/-0.1,33.7,+/-0.1,5.7,+/-0.1,0.1,+/-0.1,3,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,5,Number,"3,171,155","+/-7,215","467,010","+/-2,515","2,014,620","+/-4,991","462,045","+/-3,477","3,660",+/-442,"174,745","+/-2,151",940,+/-183,"48,140","+/-1,446",0,"Total, all occupations"
EEOALL1R,04000US17,Illinois,6,Percent,47.6,+/-0.1,7,+/-0.1,30.2,+/-0.1,6.9,+/-0.1,0.1,+/-0.1,2.6,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,1,Number,"3,345,385","+/-6,877","205,085","+/-1,846","2,722,945","+/-5,748","288,075","+/-2,805","6,080",+/-567,"71,855","+/-1,209","1,295",+/-216,"50,045","+/-1,936",0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,2,Percent,100,+/-0.1,6.1,+/-0.1,81.4,+/-0.1,8.6,+/-0.1,0.2,+/-0.1,2.1,+/-0.1,0,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,3,Number,"1,758,850","+/-4,733","119,825","+/-1,171","1,437,515","+/-3,840","131,995","+/-1,842","3,370",+/-376,"40,405",+/-825,750,+/-191,"24,995","+/-1,100",0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,4,Percent,52.6,+/-0.1,3.6,+/-0.1,43,+/-0.1,3.9,+/-0.1,0.1,+/-0.1,1.2,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
